StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q15,Q16,Q17,Q19,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q38,Q41,Q39,Q40,Q56,Q5_1,Q5_2,Q46_1,Q46_2,Q46_3,Q47_1,Q47_2,Q48,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q14_1,Q23_1,Q24_1,Q25_1,Q26_1,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q55_1,Q55_2,Q55_3,Q55_4,Q55_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2,Q33,Q17,Q8,Q34,Q36,Q42,Q45#1_1,Q45#1_2,Q45#1_3,Q45#1_4,Q45#1_5,Q45#1_6,Q45#1_7,Q45#1_8,Q45#1_9,Q45#2_1,Q45#2_2,Q45#2_3,Q45#2_4,Q45#2_5,Q45#2_6,Q45#2_7,Q45#2_8,Q45#2_9,Q37,validation_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome!  

 


You have been asked to complete this survey as part of a research project led by Matthew Lawrence, Assistant Professor of Sociology at Middlebury College. The research project examines how career interests during college are associated with beliefs about salaries and income. Your responses are entirely voluntary, and you may refuse to complete any part or all of this survey. This survey is designed to be anonymous, meaning that there should be no way to connect your responses with you. Toward that end, please do not sign your name to the survey or include any information in your responses that makes it easy to identify you.

 

Note that Amazon will maintain a record of your participation, and its use of this information is governed by the privacy agreement that you signed with Amazon. For more information, please refer to Amazon’s MTurk privacy notice available at https://www.mturk.com/mturk/privacynotice.

 

By completing and submitting the survey, you affirm that you give your consent for Professor Matthew Lawrence to use your answers in this research. You also affirm that you meet the qualifications for participation in this survey: you are between the ages of 18 and 29 and received an undergraduate bachelor's degree from a college or university in the United States. Additionally, you affirm that you will not be compensated for your participation unless you meet the qualifications outlined above and correctly answer any questions included to check the attention you give to the survey questions.

 

If you have any questions about this research before or after you complete the survey, please contact Matthew Lawrence by email (lawrence@middlebury.edu) or phone (802-443-5182). If you have any concerns or questions about your rights as a participant in this research, please contact the Chair of the Middlebury College Institutional Review Board at IRB@middlebury.edu.",What is your current age?,What is the highest level of education you have completed?,How would you describe the college or university from which you received your first undergraduate degree?,Select the option that best describes the major in which you received your first undergraduate degree.,"When you were deciding to go to college, how important to you was each of the following? - To be able to get a better job","When you were deciding to go to college, how important to you was each of the following? - To gain a general education and appreciation of ideas","When you were deciding to go to college, how important to you was each of the following? - To make me a more cultured person","When you were deciding to go to college, how important to you was each of the following? - To be able to make more money","When you were deciding to go to college, how important to you was each of the following? - To learn more about things that interest me","When you were deciding to go to college, how important to you was each of the following? - To get training for a specific career","When you were deciding to go to college, how important to you was each of the following? - To prepare myself for graduate or professional school","When you were deciding to go to college, how important to you was each of the following? - To please my family","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Working for social change","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - High income potential","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Social recognition or status","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Stable, secure future","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Creativity and initiative","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Expression of personal values","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Availability of jobs","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Leadership potential","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Work/life balance","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Ability to pay off debt","When you were an undergraduate student, how important were the following considerations when you thought about your career path after college? - Connection to college major","When you were an undergraduate student, who had the most influence on your thinking about the career(s) you would want to pursue after graduating from college?",Which of the following did you experience as an undergraduate? (Mark all that apply.),"When you were an undergraduate student, did you know two or more students at your college or university from families much poorer than your own?","When you were an undergraduate student, did you know two or more students at your college or university from families much richer than your own?",Where would you place yourself on this scale of political views?,"To what extent do you agree or disagree with the following statements? - In the United States today, people have the same chances to enter university, regardless of their gender, ethnicity, or social background.","To what extent do you agree or disagree with the following statements? - In the United States today, people have the same chances to achieve economic success after graduating from university, regardless of their gender, ethnicity, or social background.",To what extent do you agree or disagree with the following statements? - The chief benefit of a college education is that it increases one's earning power.,To what extent do you agree or disagree with the following statements? - Taxpayer money should be used to make public colleges free for students from low- and middle-income families.,To what extent do you agree or disagree with the following statements? - Students like me at the college where I received my undergraduate degree have a good chance of improving our standard of living.,"To what extent do you agree or disagree with the following statements? - For a society to be fair, differences in people's standards of living should be small.",To what extent do you agree or disagree with the following statements? - It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.,Which of the following do you consider the most important reason that people get ahead in life?,What is your best estimate of the average annual salary for an entry-level full-time employee in the United States between the ages of 21-29 working in each of the following jobs?  Drag the slider to the point indicating the dollar amount of your best estimate. - Electrical engineer,What is your best estimate of the average annual salary for an entry-level full-time employee in the United States between the ages of 21-29 working in each of the following jobs?  Drag the slider to the point indicating the dollar amount of your best estimate. - Reporter at a local newspaper,What is your best estimate of the average annual salary for an entry-level full-time employee in the United States between the ages of 21-29 working in each of the following jobs?  Drag the slider to the point indicating the dollar amount of your best estimate. - Investment banker,What is your best estimate of the average annual salary for an entry-level full-time employee in the United States between the ages of 21-29 working in each of the following jobs?  Drag the slider to the point indicating the dollar amount of your best estimate. - Janitor at an office building,What is your best estimate of the average annual salary for an entry-level full-time employee in the United States between the ages of 21-29 working in each of the following jobs?  Drag the slider to the point indicating the dollar amount of your best estimate. - Geology research associate,"You estimated that the average annual salary for an entry-level electrical engineer is $[QID21-ChoiceNumericEntryValue-1].
What percentage of full-time workers in the United States between the ages of 21 and 29 do you think have salaries lower than that amount? For example, if you think thirty percent of salaries of lower than your estimated salary for this job, drag the bar to the marker for 30. - Electrical engineer","You estimated that the average annual salary for an entry-level reporter at a local newspaper is $[QID21-ChoiceNumericEntryValue-2].
What percentage of full-time workers in the United States between the ages of 21 and 29 do you think have salaries lower than that amount? For example, if you think thirty percent of salaries of lower than your estimated salary for this job, drag the bar to the marker for 30. - Reporter at a local newspaper","You estimated that the average annual salary for an entry-level investment banker is $[QID21-ChoiceNumericEntryValue-3].
What percentage of full-time workers in the United States between the ages of 21 and 29 do you think have salaries lower than that amount? For example, if you think thirty percent of salaries of lower than your estimated salary for this job, drag the bar to the marker for 30. - Investment banker","You estimated that the average annual salary for an entry-level janitor at an office building is $[QID21-ChoiceNumericEntryValue-4].
What percentage of full-time workers in the United States between the ages of 21 and 29 do you think have salaries lower than that amount? For example, if you think thirty percent of salaries of lower than your estimated salary for this job, drag the bar to the marker for 30. - Janitor at an office building","You estimated that the average annual salary for an entry-level geology research associate is $[QID21-ChoiceNumericEntryValue-5].
What percentage of full-time workers in the United States between the ages of 21 and 29 do you think have salaries lower than that amount? For example, if you think thirty percent of salaries of lower than your estimated salary for this job, drag the bar to the marker for 30. - Geology research associate",Write a a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level electrical engineer,Write a a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level reporter at a local newspaper,Write a a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level investment banker,Write a a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level janitor at an office building,Write a a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level geology research associate,How did your estimate of the average salary for the job listed below compare to the actual salary distribution? - Electrical engineer,How did your estimate of the average salary for the job listed below compare to the actual salary distribution? - Reporter at a local newspaper,How did your estimate of the average salary for the job listed below compare to the actual salary distribution? - Investment banker,How did your estimate of the average salary for the job listed below compare to the actual salary distribution? - Janitor at an office building,How did your estimate of the average salary for the job listed below compare to the actual salary distribution? - Geology research associate,Write a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level electrical engineer,Write a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level reporter at a local newspaper,Write a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level investment banker,Write a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level janitor at an office building,Write a word or phrase you think of when you imagine someone who works in the job listed below: - Entry-level geology research associate,To what extent do you agree or disagree with the following statements? - Differences in income in America are too large,To what extent do you agree or disagree with the following statements? - Inequality continues to exist because it benefits the rich and powerful,To what extent do you agree or disagree with the following statements? - Large differences in income are necessary for America's prosperity,To what extent do you agree or disagree with the following statements? - Wealthy people should pay a larger share of taxes than they do now,To what extent do you agree or disagree with the following statements? - Everyone has a fair shot at wealth and happiness,Would you say most graduates from your undergraduate college or university earned much less or much more than they deserved in their first full-time job after graduating?,Which of the following do you believe the government should do to help the poor? Check all that apply.,Are you currently employed?,What is your primary activity currently?,What is your current gender identity?,Are you:  (Mark all that apply),What is your best estimate of your parents’/guardians’ total income during your last year of high school?  Consider income from all sources before taxes.,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Less than high school,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Some high school,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - High school graduate/GED,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Postsecondary school other than college,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Some college,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - College degree,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Some graduate school,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Graduate degree,What is the highest level of formal education obtained by your parents/guardians? - Parent 1 - Unsure,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Less than high school,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Some high school,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - High school graduate/GED,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Postsecondary school other than college,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Some college,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - College degree,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Some graduate school,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Graduate degree,What is the highest level of formal education obtained by your parents/guardians? - Parent 2 - Unsure,Earlier in this survey you were asked to estimate the average annual salaries of five jobs. What was one of the jobs you were asked about?,validation_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID56""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID47_2""}","{""ImportId"":""QID48""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_3""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID55_5""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID33""}","{""ImportId"":""QID16""}","{""ImportId"":""QID8""}","{""ImportId"":""QID34""}","{""ImportId"":""QID36""}","{""ImportId"":""QID42""}","{""ImportId"":""QID45#1_1""}","{""ImportId"":""QID45#1_2""}","{""ImportId"":""QID45#1_3""}","{""ImportId"":""QID45#1_4""}","{""ImportId"":""QID45#1_5""}","{""ImportId"":""QID45#1_6""}","{""ImportId"":""QID45#1_7""}","{""ImportId"":""QID45#1_8""}","{""ImportId"":""QID45#1_9""}","{""ImportId"":""QID45#2_1""}","{""ImportId"":""QID45#2_2""}","{""ImportId"":""QID45#2_3""}","{""ImportId"":""QID45#2_4""}","{""ImportId"":""QID45#2_5""}","{""ImportId"":""QID45#2_6""}","{""ImportId"":""QID45#2_7""}","{""ImportId"":""QID45#2_8""}","{""ImportId"":""QID45#2_9""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""validation_code""}"
8/1/19 9:28,8/1/19 9:30,Survey Preview,,100,143,TRUE,8/1/19 9:30,R_1DFLDgOz3qhSR1Y,,,,,44.45370483,-73.1772995,preview,EN,"I consent, begin the study",23,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75472,34771,97574,23181,55526,90,54,95,25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,janitor,54
8/1/19 9:30,8/1/19 9:32,Survey Preview,,100,77,TRUE,8/1/19 9:32,R_1ibpbvlgTlvjYlE,,,,,44.45370483,-73.1772995,preview,EN,"I consent, begin the study",20,Professional degree,Private liberal arts college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My estimate was higher than the actual salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,janitor,70
8/1/19 9:46,8/1/19 9:52,IP Address,73.86.221.153,100,365,TRUE,8/1/19 9:52,R_A6Vc35ITwnSIUEN,,,,,38.36610413,-76.43460083,anonymous,EN,"I consent, begin the study",24,Professional degree,Private university,Natural Sciences,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Somewhat important,Not important,Very important,Somewhat important,Not important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Professor,"Held a full-time job (approximately 35 hours a week) while taking classes,Had a roommate of a different race/ethnicity,Lived on campus,Lived off campus,Voted in a national, state, or local election,Participated in a paid internship,Participated in an unpaid internship",Yes,Yes,Liberal,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Coming from a wealthy family,80054,40162,119137,25337,45553,86,40,98,20,45,,,,,,My estimate was higher than the actual salary,,,,,intelligent,,,,,Agree,Agree,Strongly disagree,Strongly agree,Disagree,What they deserve,"Give them money,Give them food,Help them find a job,Expand student loan programs to increase participation in higher education","Yes, and working full-time (35 or more hours a week in one or more jobs)",Work full-time,Female,"White/Caucasian,Other Latina/o/x","$100,000 - $124,999",,,Answer 1,,,,,,,,,,,,,,Answer 1,,Investment banker ,32
8/1/19 9:53,8/1/19 9:53,IP Address,207.155.71.235,100,20,TRUE,8/1/19 9:53,R_qFuzAOhhrddt7YR,,,,,32.61810303,-83.78900146,anonymous,EN,"I consent, begin the study",23,Associate's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
8/1/19 9:50,8/1/19 9:55,IP Address,108.197.229.66,100,356,TRUE,8/1/19 9:55,R_26i49vFs8WEnmP1,,,,,42.04690552,-88.10510254,anonymous,EN,"I consent, begin the study",23,Bachelor's degree,Public university,Business,Very important,Not important,Not important,Very important,Not important,Not important,Very important,Somewhat important,Not important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Not important,Yourself,"Held a full-time job (approximately 35 hours a week) while taking classes,Had a roommate of a different race/ethnicity,Lived on campus,Lived off campus,Participated in student government,Participated in an ethnic/racial student organization",Yes,Yes,Extremely liberal,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Ambition,60916,25337,60647,17790,19407,61,83,59,27,30,,,Numbers,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,What they deserve,"Help them find a job,Expand student loan programs to increase participation in higher education","Yes, and working full-time (35 or more hours a week in one or more jobs)",Work full-time,Male,Asian,"$100,000 - $124,999",,,,,,Answer 1,,,,,,,,Answer 1,,,,,"Bank investor, janitor, electric enginer. ",84
8/1/19 9:51,8/1/19 9:56,IP Address,151.132.206.250,100,260,TRUE,8/1/19 9:56,R_6ujTgmkKTmWFaRb,,,,,26.66419983,-80.17320251,anonymous,EN,"I consent, begin the study",21,Bachelor's degree,Public university,Social Sciences,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Yourself,"Held a full-time job (approximately 35 hours a week) while taking classes,Had a roommate of a different race/ethnicity,Lived on campus,Lived off campus,Played club, intramural, or recreational sports,Played intercollegiate athletics (e.g., NCAA or NAIA-sponsored),Participated in an unpaid internship,Participated in leadership training",Yes,Yes,Slightly conservative,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Ambition,145283,42318,129111,12668,29380,61,39,37,26,32,,,professional,,,,,,,,,,,,,Disagree,Disagree,Agree,Disagree,Agree,What they deserve,Help them find a job,"Yes, and working full-time (35 or more hours a week in one or more jobs)",Work full-time,Female,White/Caucasian,"$250,000 - $499,999",,,,,Answer 1,,,,,,,,,,,,Answer 1,,journalist at a newspaper,42
8/1/19 9:53,8/1/19 9:56,IP Address,207.155.71.235,100,169,TRUE,8/1/19 9:56,R_qD9OKDxlEf3M9EZ,,,,,32.61810303,-83.78900146,anonymous,EN,"I consent, begin the study",25,Bachelor's degree,Private university,Humanities and Languages,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Parents,"Joined a pre-professional or departmental club,Held a full-time job (approximately 35 hours a week) while taking classes,Played club, intramural, or recreational sports",Unsure,Unsure,Slightly liberal,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Having a good education,85984,91105,92722,22642,121563,27,35,41,11,29,,,,,smart,,,,,,,,,,,Neutral,Neutral,Strongly agree,Agree,Agree,Less than they deserve,"Help them find a job,Expand student loan programs to increase participation in higher education","Yes, and working full-time (35 or more hours a week in one or more jobs)",Work full-time,Male,Black or African American,"$125,000 - $149,999",,,,,,Answer 1,,,,,,,,,,,Answer 1,,janitor,20
8/1/19 9:54,8/1/19 9:57,IP Address,108.26.115.179,100,195,TRUE,8/1/19 9:57,R_1CqhZ68QYZKk1dT,,,,,36.98640442,-76.41649628,anonymous,EN,"I consent, begin the study",24,Bachelor's degree,Public university,Natural Sciences,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Not important,Not important,Very important,Not important,Very important,Somewhat important,Very important,Somewhat important,Not important,Not important,Not important,Very important,Professor,"Had a roommate of a different race/ethnicity,Lived on campus,Played club, intramural, or recreational sports,Voted in a national, state, or local election,Participated in an unpaid internship,Participated in study abroad",No,Yes,Extremely liberal,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Coming from a wealthy family,98922,26146,200000,30728,51213,50,50,30,50,70,,,,uneducated,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,What they deserve,"Give them money,Give them food,Help them find a job,Expand student loan programs to increase participation in higher education","Yes, and working full-time (35 or more hours a week in one or more jobs)",Work full-time,Female,White/Caucasian,"$30,000 - $59,999",,Answer 1,,,,,,,,,,,,Answer 1,,,,,janitor,31
